num,titulo_empleo,descripcion_empleo,etiquetas_empleo
783,.NET Developer - SQL Server,".NET Developer - SQL Server (Senior)

1) Descripción General:
La posición es para formar parte de un equipo de alto nivel para el desarrollo y mantenimiento evolutivo de un producto de software destinado a entidades financieras-bancarias. El producto está construido sobre la plataforma de desarrollo de Microsoft con el propósito de crear una solución innovadora, flexible y escalable. Utiliza tecnologías de software de última generación, mejores prácticas de la industria y un entonó de despliegue sobre una arquitectura SOA.

2) Responsabilidades Principales:
- Desarrollo de programas o componentes siguiendo los estándares de programación y arquitectura establecidos.
-  Elaborar documentación t&...","["".NET"", ""ASP.NET"", ""Programación en C#"", ""Servidor de Microsoft SQL"", ""SQL""]"
784,Crear un webview para IOS y subirlo al apple store.,"Tengo un script de codecanyon: 

Ya he hecho el webview para Android, necesito hacerlo para IOS. 
Te paso los  accesos al ios developer.","[""iPhone"", ""Laravel"", ""Desarrollo de apps móviles"", ""PhoneGap""]"
785,Developer iOs (Nacionalidad: Español),"Necesitamos a un desarrolaldor iOS nativo

El candidato debe saber utilizar y dominar patrones de diseño tales como MVC, MVP y VIPER","[""iOS Development"", ""MVC"", ""Objective C"", ""Arquitectura de software"", ""Swift""]"
786,Necesitamos un freelancer EXPERTO LARAVEL / HTML / JS,"Hola, somos una empresa europea, necesitamos un freelancer con experiencia de almenos 3 anos en: 

- Laravel Framework PHP 
- Mysql 
- HTML / HTML5 / CSS / Bootstrap / Javascript / Jquery / AJAX
- Git / Bitbucket 
- Wordpress (Posiblemente lado developer tambien)
- posiblemente conocimientos de Vue. 
- Seria de agrado experience con server linux y deployment del las apps en digitalOcean o Amazon AWS

Necesitamos alguien que nos pueda dedicar almeno 3 dias a la semana Full-time 8 horas al dia con continua comunicacion en la chat. 

'Porfavor no proponerse si no tienen estos requisitos. Este anuncio es especialmente para el publico latinoamericano y espanol o cualquier otro freelancer que hable espanol.","[""HTML"", ""JavaScript"", ""Laravel"", ""MySQL"", ""PHP""]"
787,Blockchain Developer,"proyecto plataforma, buscando personas idóneas con habilidades en blockchain","[""Arquitectura de software""]"
788,Medalla Conmemorativa Deportiva,"Estamo...medalla conmemorativa de un campeonato deportivo la cual queremos que el diseño refleje los valores que en el deporte se viven.

Disciplina
Integración
Esfuerzo
Sacrificio
Trabajo en equipo

Deberá ser en forma redonda de 8.5 cms. con diseño por ambas caras e incluir  el diseño del liston de 3 cms de ancho.
Incluyo fotos del estilo de proyecto que estamos buscando.

English:
We are looking for the developer of the creative idea for the commemorative medal of a sports championship which we want the design to reflect the values ​​that are lived in the sport.

Discipline
Integration
Effort
Sacrifice
Teamwork

It must be in a round shape of 8.5 cm. with design on both sides and include the design of the 3 cm wide ribbon.
I include photos of th...","[""Diseño gráfico"", ""Illustrator"", ""Diseño de logotipos"", ""Photoshop""]"
789,Senior react developer for multiple projects,"Buscamos un desarrollador web front-end en ofrecer código de alta calidad que trate de superar las expectativas.

Utilizando un conjunto de tecnologías web front-end, buscamos que cree hermosas experiencias de usuario utilizando tecnologías como JavaScript, HTML5, CSS y diversos marcos como Bootstrap, React, Next Js.

Habilidades Requeridas

Experiencia sólida usando HTML y CSS (al menos 3 años de experiencia)

Fuerte conocimiento de JavaScript (al menos 3 años de experiencia)

Experiencia sólida de  (al menos 1 año de experiencia)

Experiencia sólida de SEO (al menos 1 año de experiencia)

Comprensión de los patrones de programación reactivos y funcionales y tecnologías relacionadas co...","[""API"", ""Bootstrap"", ""Desarrollo"", ""CSS"", ""Git"", ""HTML5"", ""JavaScript"", ""Laravel"", ""PHP"", ""React.js"", ""RESTful"", ""SEO"", ""Web Development""]"
790,Web Developer - Internet Services,"Requerimos de una pagina web responsive de tipo landing page donde explique el servicio a ofrecer y lo pueda contratar de manera 100% online, Ademas de un Formulario que pida el nombre, telefono, email de cada cliente y lo guarde en una base de datos Mysql.

Se valorara Calidad de la website , rendimiento, efectos incorporados, estilos, Calidad de codigo.

Se dara mas detalles por privado.","[""Diseño gráfico"", ""HTML"", ""MySQL"", ""PHP"", ""Diseño de sitios web""]"
791,Full Stack Developer,"Estamos buscando a un desarrollador senior de frontend/backend para que se una a nuestro equipo, que cuente con varios años de experiencia en Laravel y VueJS.
Si tu eres un desarrollador de frontend/backend PHP Laravel/VueJS dispuesto a comprometerte a trabajar 40+ horas a la semana, y tienes experiencia desarrollando productos digitales altamente escalables, entonces nuestro equipo tiene una gran posibilidad para ti.
Requerimientos
•	Mínimo 4+ años de experiencia desarrollando aplicaciones web
•	Experiencia usando HTML/PHP/JS/CSS.
•	Mínimo 3+ años de experiencia en Laravel (5 y 6). Nivel de experiencia: Senior.
o	Laravel Nova
o	Laravel Passport
o	Laravel Scout
o	Lumen
o	Horizon
•	Experiencia en VueJS. Nivel de experiencia: Medium - Se...","[""HTML"", ""Laravel"", ""MySQL"", ""PHP"", ""Diseño de sitios web""]"
792,need website developer who can fix my website,Necesito a alguien que arregle la web,"[""Bootstrap"", ""HTML"", ""Laravel"", ""WordPress""]"
793,Project for Fullstack Developer -- 20/01/21 11:24:06,"Necesito una aplicación web para mi negocio, tengo alquiler de autos, necesito cargar los autos que tengo, necesito cargar los clientes y gestionar los alquileres, necesito un presupuesto y tiempo de entrega","[""CSS"", ""MySQL"", ""Open Cart"", ""PSD a HTML"", ""Wix""]"
794,"WPF UI Developer, MVVM, Caliburn Micro","Se requiere desarrollador C# para codificar la interfaz de usuario de una aplicación administrativa, se debe implementar bajo Net Core 3, WPF y Caliburn Micro.","["".NET"", ""Programación en C#"", ""Servidor de Microsoft SQL"", ""WPF""]"
795,Buscamos Full stack developer para trabajar de manera remota,"Buscamos full stack developer en ARGENTINA para trabajar de manera freelance en distintos proyectos, principalmente desarrollo de sitios web en WordPress desde cero, también es necesario crear plugins. El diseño sera proveído en formato PSD junto con todos los recursos necesarios para el desarrollo de la web:

Tus tareas serán:
Transformación de diseños PSD complejos a plantillas pixel perfect HTML5 / CSS3.
Creación de sitios web responsive.
Construir sitios con WordPress, desarrollar plugins.
Trabajar con sistemas de control de versiones como GIT.
Trabajar bajo plazos ajustados.
Manejando múltiples tareas al mismo tiempo.
Producir trabajos de alta calidad con un fuerte enfoque en los detalles.
Asegurar que los proyectos se com...","[""CSS"", ""HTML"", ""JavaScript"", ""PHP"", ""WordPress""]"
796,Android developer,"ITC Empresa Tecnológica con 3 años en el mercado en soluciones dinámicas e innovadoras, Busca para su area desarrollo TI a desarrollador Android Freelance.

Buscamos.

Profesional freelance con  1 año de experiencia en desarrollo de software mobile.

- Desarrollo de las API de conexion (No existen)
- Creacion de Graficos y paneles en base a métricas ya preestablecidas.
- Conexion a bases de datos mysql Maria db alojadas en hosting.
- Creacion de un mantenedor basico de datos (insert, update, delete, select).
- Diseño Grafico de app
- Publicación de la app en PlayStore

Se ofrece.

Prototipo Pagado (3 meses)

Ser parte al largo plazo del team desarrollador una vez el software salga , cambiando las condiciones en base a crecimiento .

El softw...","[""Android"", ""API"", ""Desarrollo de apps móviles"", ""MySQL"", ""PHP""]"
797,Web Corporativa Wordpress,"Buscamos developer Español. We are seeking for a Spanish Developer.

Somos un grupo empresarial,
en nuestra misión de renovar la web, comenzó el proyecto con personal propio, pero por diversos motivos no se ha llegado a culminar; contamos con una la web al 80% y nos gustaría terminarla, por lo que precisamos de alguien con conocimientos que nos aporte este último empujón y, por supuesto, que mejore lo que estime oportuno para que esta quede lo más funcional y profesional posible.

Más detalles por e-mail o teléfono. (Removed by Freelancer.com Admin)
Los datos como presupuesto y formas de trabajo son totalmente negociables.","[""HTML"", ""PHP"", ""SEO"", ""Diseño de sitios web"", ""WordPress""]"
798,Software enginer-inglish teacher-Photoshop Developer-Web site - Developer,busco ganar ingresos extras trabajando en internet ejerciendo mis estudios tanto en computacion como ingles y diseñador,"[""CSS"", ""Diseño gráfico"", ""HTML"", ""PHP"", ""Diseño de sitios web""]"
799,"Terminar aplicacion, un archivo ejecutable y un tutorial","...android faltaria: 
Pasarela stripe mal integrada, acepta pagos con tarjeta inventada.
Al realizar pago, la transaccion se queda cargando y no da ok.

En IOS:
Screenshoots para poder subirla al appstore.
Solventar el siguiente bug: ipad running ios 13.3 on wifi. When we openned the app it displayed an unresponsive splash screen.
Tambien este bug, pero seria menos urgente: 
App Store Connect
 
Dear Developer,

We identified one or more issues with a recent delivery for your app, ""Tymap"" 1.6.4 (1.6.4). Your delivery was successful, but you may wish to correct the following issues in your next delivery:

ITMS-90809: Deprecated API Usage - Apple will stop accepting submissions of apps that use UIWebView 

Ejecutable: las empresas deben poder instalarlo para que copien X info...","[""Android"", ""iPad"", ""iPhone"", ""Desarrollo de apps móviles"", ""PhoneGap""]"
800,cakephp developer,desarrollador php experto en el framework CakePHP,"[""CakePHP"", ""HTML"", ""MySQL"", ""PHP"", ""Yii""]"
801,Project for Alejandra C.,"Hola Alejandra, soy Alfred un desarrollador en Peru, actualmente trabajo en una empresa full time como developer pero quiero transicionar a freelance por mi manejo de ingles, intente algunas veces encontrar trabajo aquí en freelancer pero no tuve éxito, quería saber si me puedes dar algunos tips para conseguir trabajo freelance. Además, tengo algunos clientes locales que manejo con proyectos de desarrollo y diseño pero el diseño gráfico escapa de mi area de especialidad, entonces quería saber también si haces UI UX designs para landing pages para tomarte en consideración cuando tenga algún proyecto nuevo. Saludos.","[""Identidad corporativa"", ""Diseño gráfico"", ""Illustrator"", ""Diseño de logotipos"", ""Diseño de sitios web""]"
802,vue.js page invoicing system,"Se requiere un developer front end vue.js que invoque apis de un back end ya desarrollado. Los requisitos son:

- Utilizar la plantilla StarAdmin PRO (a ser enviada al desarrollador).
- Invocacion de apis utilizando JWT.
- Pantalla de login
- Dashboard
- Pantallas de ABM con campos estaticos.
- Pantallas de Alta con campos dinamicos (invocados desde un api)
- Pantalla de consulta utilizando parametros dinamicos (invocados desde un api)
- Reportes a exportar a PDF y excel
- Buena comunicacion
- Cumplir tiempos (10 dias)
- Mostrar avances diarios

Experiencia minima en vue de 2 años.","[""HTML"", ""JavaScript"", ""Vue.js"", ""Vue.js Framework""]"
803,Laravel crud,Tengo un proyecto de Laravel que el anterior developer no ha podido continuar por motivos personales. Hay que corregir algunos fallos puntuales en el proyecto,"[""HTML"", ""Laravel"", ""MySQL"", ""PHP"", ""Diseño de sitios web""]"
804,Creacion de APP para Android,Busco una persona con mucha experiencia en la creación de APP para Android con conocimientos tambien en la implantación de Admob y playstore developer,"[""Android"", ""Desarrollo de apps móviles""]"
805,shopify Developer,"desarrollar una tienda de comidas a domicilio. 16  3 familias de productos adicionar productos al carro desde el home. Pack de ofertas. en el carro introducir codigo postal y horario de entrega de producto. Configurar toda la tienda pasarella de pago e emails.
Tenemos el theme. solo hay que buscar un plug in para obtimizar la conversión de compra desde el telefono  movil tal cual lo tiene esta web   y poder hacer una reserva de un pedido online en el ajax to cart (tanto movil como pc). Estas dos funcionalidad el theme no las tiene. y sin fundamentales para nuestro negocio","[""HTML"", ""PHP"", ""Shopify"", ""Shopify Development"", ""Diseño de sitios web""]"
806,Se necesita el desarrollador Angular y Node.js,"We are looking for a experienced developer who can build new features and maintain its for a long-time period. You will be working with other developers of the team and communicating with them to push efficiently the work forward. We work with Scrum in Asana.

Our technologies are: Angular and Node.js/Typescript + Express in the back. We use mysql database with Sequelize ORM.

Spanish language it's a must.

###########

Estamos buscando un desarrollador experimentado que pueda crear nuevas funciones y mantenerlas durante un período prolongado. Trabajará con otros desarrolladores del equipo y se comunicará con ellos para impulsar el trabajo de manera eficiente. Trabajamos con Scrum.

Nuestras tecnologías son: Angular y Node.js / Typescript + Express e...","[""AngularJS"", ""Express JS"", ""Node.js""]"
807,Developer needed for scrapping some websites,"...nosotros. Será una tarea independiente y que conllevará investigación por parte del desarrollador, ya que dependiendo de la página y su funcionamiento, deberá procederse de una manera o de otra para extraer la información. No nos importa el lenguaje de programación, pero preferimos Python o Javascript. Se requiere saber scrapear webs dinámicas, descargar archivos PDF y demás.
- English:
We need a developer with scrapping skills and experience to extract data from a few websites. The  project will consist basically in extracting the required information from the sources specified by us. The task will be independent and will involve some research from the developer's side, because depending on the site it will be n...","[""Extracción de datos"", ""JavaScript"", ""Python"", ""Extracción de datos web""]"
808,PHONELOCK for android,"Buenos días,

Estamos buscando un developer Android para crear una aplicación capaz de bloquear un Teléfono o Tablet y obligar a los usuarios a contestar unas preguntas antes de poder desbloquear el dispositivo.
 
(Removed by Freelancer.com Admin)
Un saludo,
Daniel.","[""Android"", ""HTML5"", ""Java"", ""Desarrollo de apps móviles"", ""PHP""]"
809,Busco PHP developer con conocimientos de GLPI,"Necesito delegar el desarrollo de una customización de GLPI y busco una persona responsable y seria, con conocimientos del sistema y el lenguaje, para su realización. La idea es generar una realción estable ya que tendría trabajo constantemente para pasar.

Excluyente que hable español.","[""PHP""]"
810,Amazon App development Echo,"Necesito que desarrollen un software para mí. Me gustaría que este software sea desarrollado.
un Skill Alexa, sensillo que expliqué y de la bienvenida, y espere la clave o campo de búsqueda, para hacer una búsqueda en una base de datos MySQL de un dominio .com y lea el registro que está almacenado

-incluir el skill de código en la cuenta propia de la cuenta Amazon developer
- Flexible en el campo de búsqueda (se pueda cambiar posteriormente)
- Flexible en la lectura del registro (constantes)","[""Amazon App Development"", ""Amazon Web Services"", ""MySQL"", ""Arquitectura de software""]"
811,full stack developer,"Mantenimiento y mejoras de una pagina web .
Experiencia con Laravel y bases de datos MySQL.
Desarrollo front: html, css y JavaScript.
Idioma: español","[""HTML"", ""JavaScript"", ""Laravel"", ""MySQL"", ""Diseño de sitios web""]"
812,Publicación de App en iOS App Store,"EL trabajo consiste un crear los archivos necesarios a través de xcode para la carga y publicación de un app en iOS App Store, el app ya ha sido publicado para android y solo se necesita la publicación ahora en iOS.

El app es un ecommerce de una web desarrollada en wordpress, se proporcionara las credenciales de developer de apple para la carga.

El trabajo se dará por completado al estar el app publicada en el AppStore.","[""Android"", ""iPhone"", ""Desarrollo de apps móviles"", ""Objective C"", ""Swift""]"
813,Limpiar un server y 5 sitios en wordpress / Clean a server and 5 website from a Malware,"Resulta que por lo visto un bot o hacker ruso me ataco un sitio web del cliente. Yo estoy limpiando un par pero ocupo ayuda con el resto. Busco un desarrollador que tenga experiencia en este tipo de trabajos.

I am looking for a developer who can help me cleaning a server and several wordpress sites (5)","[""MySQL"", ""PHP"", ""Seguridad web"", ""WordPress""]"
814,Employee Check In and Check Out,"WEB-APP MOBILE APPLICATION FOR TRACKING EMPLOYEE CHECK IN / CHECK OUT:

Functions: Application offers the ability to track employees check in/out activities for a better control of work hours through their mobile phones. Our customers obtain reports from their employees in the control panel.

Users Roles: All the roles in the company can track their own working hours

SuperAdmin: Developer
Admin: Companies
Users: Regular employees

SuperAdmin features:

1. You can register various Admins, create a company profile and attach company logos and images.

Admin features

1. You can register new employees, create their profile and add more information
2. You can customize the work calendar, mark different shifts, holidays, etc.
3. You will be able to see personalized reports of working ho...","[""Android"", ""iPhone"", ""Desarrollo de apps móviles"", ""MySQL"", ""PHP""]"
815,ODOO Developer,"Buscamos un desarrollador que tenga experiencia en el desarrollo de módulos para la implementación de ERP ODOO, el proyecto será de 3 a 5 meses con posibilidad de extensión

Beneficios
•	SGMM
•	20 días de vacaciones
•	Sueldo de $20,000 a $25,000 mxn libres","[""CSS"", ""JavaScript"", ""MySQL"", ""PostgreSQL"", ""Python""]"
816,Armado de página web front y back,"Buen día, 

Estamos buscando un developer Fullstack para armar una pagina Front y Back para uno de nuestros clientes.
Estariamos interesados en recibir un presupuesto para este proyecto asi como el tiempo que necesitarias para realizarlo. 

El sitio necesita contar con un administrador de contenido ( PHP - Laravel o Similar) y Front en html 5, css, js, bootstrap 4.

En estos enlaces se puede ver el diseño final del sitio y las funcciones que necesitaria tener el administrador. 




No dudes en contestarnos a stef@ Cc: mat@

Tambien agradeceriamos poder recibir tu portfolio o enlaces a sitios que hayas desarrollado","[""Diseño gráfico"", ""HTML"", ""Laravel"", ""PHP"", ""Diseño de sitios web""]"
817,Cambios en una web realizada con strapi graphql node.js y vue.js,"El sitio web está hecho con las siguientes tecnologías y se requiere un developer con experiencia en ellas:
- strapi
- graphql
- node.js
- vue.js
- mysql

Los cambios, mayormente de Backend, son lo suficientemente pequeños como para convertirse en un proyecto de no más de 2 días. Los requisitos son claros y se presentarán en una primera reunión por sykpe.

Si estos cambios se ejecutan con éxito, este será el punto de entrada para solicitar actualizaciones más grandes del sitio web en el futuro cercano al mismo developer.","[""JavaScript"", ""Node.js"", ""Vue.js""]"
818,Desarrollo de un plataforma SaaS,"Buscamos a un developer con experiencia en  para que nos ayude a customizar un template que ya adquirimos, y llevarlo al siguiente nivel. La aplicación es un SaaS y marketplace para facilitar cualquier tipo de alquiler entre empresas.","[""CSS"", ""HTML"", ""PHP"", ""Arquitectura de software"", ""Diseño de sitios web""]"
819,Project for Eli R.,"Hola elidora555, vi tu perfil y me gustaría ofrecerte mi proyecto. Podemos discutir cualquier detalle por chat.**** Device Registration developer","["".NET"", ""Adobe Flash"", ""ASP"", ""Programación en C"", ""J2EE""]"
820,[FREELANCE] Business Developer B2B ESPAÑA,"Restopolitan es la membresía líder en Europa dedicada a los amantes de la gastronomía.
¡Obtenga 1 comida gratis cada vez que reserve a través de nosotros en más de 3.500 restaurantes! Operando en Francia, España, Italia y Luxemburgo.

Inicialmente especializado en un software de gestión de reservas, Restopolitan en 2012, hizo un giro al lanzar la Tarjeta de Membresía Restopolitan, en París por primera vez.
El éxito fue inmediato y desde que se abrió Restopolitan luego de operaciones de crecimiento externo en España, Italia y Luxemburgo.


Tu papel en la organización: 

En el equipo de ventas y en estrecha colaboración con los ejecutivos de cuentas, usted llevará todo el ciclo de v...","[""Servicios al cliente"", ""Freelance"", ""Ventas""]"
821,Capturador Inventario Off-Line - Aplcacion Android JAVA.,"Estimados:
    necesitamos una APP desarrollada para andorid con EMDK JAVA propio del dispositivo ZEBRA TC-25. documentación aqui.  

1.- Esta aplicación debe cargar 2 archivo desde un sistema externo, estos archivos están en formato plano CVS o TXT.
                 1.1. Archivo de Maestro de ITEM (SKU)
                 1.2  Archivo de conteo , este contiene una selección de artículos que se deben contar, este archivo contiene :  Conteo, Codigo Producto, Bodega/Cliente, Ubicacion, Codigo de Barra,  Factor Conversion

2.- La aplicación debe seleccionar el archivo a cargar previamente guardado en el dispositivo.
y ofrecer la ubicación/cliente a contar.

3.- Si el código escaneado existe en la ubicación","[""Android"", ""Java"", ""Desarrollo de apps móviles"", ""PHP""]"
822,Node developer,"Estoy buscando un desarrollador de pila Node experimentado para ayudarme de forma remota.

Responda SOLO si puede trabajar:
* 4 + horas por día, más los fines de semana.
* Rápido bajo presión / plazos

Su pago dependerá de la tarea.","[""Express JS"", ""MongoDB"", ""Node.js"", ""React.js""]"
823,MERN developer - South American,"Estoy buscando un desarrollador de pila MERN experimentado para ayudarme de forma remota.

Responda SOLO si puede trabajar:
* 4 + horas por día, más los fines de semana.
* Rápido bajo presión / plazos

Su pago dependerá de la tarea.","[""Express JS"", ""MongoDB"", ""Node.js"", ""React.js""]"
824,Desarrollo personalizado de nodejs y la API de Salesforce,"Necesito un proyecto de una webapp creada con node/express/mongoose/ejs que jala informacion de una cuenta de Salesforce para crear vistas y reportes personalizados, necesito un fullstack developer que sea experto con el API de Salesforce.","[""Express JS"", ""JavaScript"", ""Node.js"", ""Desarrollo de aplicaciones de Salesforce"", ""Salesforce.com""]"
825,MERN developer espanol,"Estoy buscando un desarrollador experimentado de Node para ayudarme de forma remota. Si te gusta trabajar en nuevas empresas o si estás cansado / aburrido de tu trabajo actual.

Responda SOLO si puede trabajar:
* 4 + horas por día, más los fines de semana.
* Rápido bajo presión / plazos

* Primero * las tareas serán de tarifa plana según la tarea. Calcularé el tiempo en función de cuánto tiempo debería tomar.

* Después * de haber completado con éxito múltiples tareas con tarifa plana, lo contrataré a tiempo parcial o tiempo completo.","[""Node.js"", ""React.js""]"
826,Manejo de openCv,"Developer android con conocimientos en OpenCV, para desarrollar algoritmo de reconcimiento de patrones","[""Android"", ""Java"", ""Desarrollo de apps móviles"", ""Python"", ""Arquitectura de software""]"
827,Front End Developer (Laravel - Blade -CSS3),"Estamos desarrollando una plataforma web y buscamos un desarollador Front End con conocimientos en  (Laravel - Blade -CSS3) para trabajar conjuntamente con nuestro programador Back End. El proyecto consiste en la creación de una web con interfaz de usuarios, registro de eventos, pagos, etc.

Puedo darte más detalles sobre el proyecto en privado.

Tenemos todo el diseño web realizado así como los assets necesarios para llevarla a cabo.

Si leíste nuestra propuesta y estas interesado menciona la palabra ""FrontWeb"" en tu mensaje inicial.

Estamos en contacto,","[""CSS3"", ""HTML"", ""JavaScript"", ""Laravel""]"
828,Desarrollo de piloto 1+1,"Hi, 

We need a developer how help us to create an specific section on our site. This section need: 
1) Payment integration but we already have one tha work with woocomerce
2) The packages in this section are specials, the search engine need to find the specific packages
3) Is required to have this costume process only for the section. (Check chart 3rd on attach deck) 

Additional information: 
The template is traveler
Is a first prototype of this service. 
The website is: 
______________________

Hola, 

Necesitamos un desarrollador que nos ayude a realizar una sección de nuestra página web: 

Esta sección es una sección donde los usuarios tengan un landing en la sección con motor de busqueda de viajes. 

En el viaje podrán acceder a selecc...","[""CSS"", ""HTML"", ""PHP"", ""Diseño de sitios web"", ""WordPress""]"
829,wipei - Gateway de Pago,"Full Stack Developer con conocimientos de ReactJS y NodeJS para startup tecnológica en pleno crecimiento que busca generar gran impacto en el mercado de pagos, e-commerce.
Se pondera tener conocimientos de plataformas de e-commerce.","[""AngularJS"", ""Express JS"", ""HTML5"", ""JavaScript"", ""Node.js""]"
830,Office 365 & SharePoint Senior Developer Consultant,"Buscamos un consultor senior en soluciones O365 & Azure que se una a nuestro equipo de productividad para participar en el diseño e implementación de soluciones basadas fundamentalmente en estas tecnologías con al menos 3 años de experiencia.

Es obligatorio tener sólidos conocimientos y experiencia práctica en: 

Desarrollo de soluciones basadas en el ecosistema de soluciones de Office 365 (Teams, PowerApps, Flow, Power BI, SharePoint Online…)
Desarrollo y despliegue de soluciones SharePoint
CSOM, JSOM, Search API REST…
SharePoint Framework and PnP.
PowerShell for SharePoint.
Se valorará positivamente tener conocimientos en: 

Diseño y creación de infraestructuras O365 / Azure
Desarrollo de soluciones en Micr...","[""Azure"", ""QlikView"", ""Desarrollo de aplicaciones de Salesforce"", ""Salesforce.com"", ""Sharepoint""]"
831,Capacitación developer SugarCRM en español (Módulos  Personalizados),"Costo de Capacítación por 1 hora para programador de SUITECRM.  Tenemos conocimiento de PHP y del uso de SuiteCRM. Estamos haciendo un proyecto de desarrollo de módulos personalizados y nos gustaría resolver varias dudas como:
a) Reutilización de parte de los módulos de Accounts, Leads, Activities
b) descripción detallada y ejemplos de uso de la librería   
c) funciones disponibles para el uso de widgets (messagebox, alerts, etc) para Javascript.","[""JavaScript"", ""PHP"", ""SugarCRM""]"
832,GPS Tracking,"I am looking for a developer who has experience working with Navixy or GPSGATE platforms. Specifically developing plugins or scripts that use the platform information to control devides and generate actions and to produce reports. In the other hand, that person can be somone who is proficient understanding and modifiying the traccar platform so that can modify it to get exactry what we need.

Attached please find the description of plugins and reports we need.

If you don't have experience working with those platforms please don't bid or contact me. I won't hire someone who needs to be familiar with the platform before the development. I don't have much time.","[""GPS"", ""Java"", ""JavaScript"", ""JSON"", ""PHP""]"
833,Project for Fullstack Developer,"Hola Fullstack Developer, vi tu perfil y me gustaría ofrecerte mi proyecto. Podemos conversar sobre los detalles por chat.","[""Magento"", ""PHP"", ""Prestashop"", ""Diseño de sitios web"", ""WordPress""]"
834,Web Developer with data encoding skills needed for creating coding for Cash Back Style Website,"Need a web developer to design ONLY the coding for a web for a CASH BACK business type. In need of someone with experience in Shopify and/or Wordpress that can provide the coding necessary to implement the back end of the website for orders, cashback, processes, etc.

Project is to create a business site with partners with physical stores focused on a wide variety of products and services. These products and services will be promoted through this website providing cashback to customers.

The language needs to be in Spanish and looking for a freelancer wanting to take on this project.

Freelancer must be fluent/native in Spanish and able to deliver the completion of this project is a timely manner.

Budget is negotiable.


ESPAÑOL

Se busca un desarrollador web para dise&ntild...","[""Desarrollo"", ""HTML"", ""Shopify"", ""Web Development"", ""WordPress""]"
835,DESARROLLO DE UN SITIO WEB SENCILLO,"En términos generales requiero desarrollar un sitio web que permita registrar dos tipos de usuarios A y B, de igual modo que los usuarios de tipo B puedan calificar a los usuarios tipo A y todos los que accedan al sitio web puedan visualizar estas calificaciones y los usuarios podran gestionar su información personal. Requiero developer preferiblemente con conocimientos en HTML, CSS, PHP, JavaScript, Base de Datos y que cuente con portafolio para visualizar sus proyectos.","[""CSS"", ""HTML"", ""JavaScript"", ""PHP"", ""Diseño de sitios web""]"
836,Require PHP/Javascript/Python Developer,"Se solicita desarrollar un software o Api para enviar imagenes de un ftp/carpeta a un cloud Api (PlateRecognizer)
Ejemplo: en un estacionamiento, a medida que ingresan los vehículos la cámara de seguridad enviará una imagen por trigger a un ftp/carpeta , luego el software deberá consultar las imágenes al cloud api de manera ordenada para realizar el reconocimiento lpr. La respuesta visualizarla en portal web con filtros de busqueda dia/hora/patente/camara

example:
Website: 
Docs: 

Shell
curl -F 'upload=@/path/to/' 
  -H 'Authorization: Token API_TOKEN' 
  

# You may also include regions
curl -F 'upload=@/path/to/' 
  -F regions=fr -F regions=us-ca 
  -H 'Authorization: Token API_TOKEN' 
  

Return value

[
 ...","[""API"", ""Docker"", ""Powershell"", ""Desarrollo de software""]"
837,Sistema de facturacion  - vue.js,"Se requiere un developer front end vue.js que invoque apis de un back end ya desarrollado. Los requisitos son:

- Utilizar la plantilla StarAdmin PRO (a ser enviada al desarrollador).
- Invocacion de apis utilizando JWT.
- Pantalla de login
- Dashboard
- Pantallas de ABM con campos estaticos.
- Pantallas de Alta con campos dinamicos (invocados desde un api)
- Pantalla de consulta utilizando parametros dinamicos (invocados desde un api)
- Reportes a exportar a PDF y excel
- Buena comunicacion
- Cumplir tiempos (10 dias)
- Mostrar avances diarios

Experiencia minima en vue de 2 años.","[""HTML"", ""JavaScript"", ""Vue.js"", ""Vue.js Framework""]"
838,Necesitamos App Xamarin forms Developer para mejorar funcionalidades de mapa google con puntos,"Disponemos un proyecto App Móvil Xamarin Form, tenemos un modulo para ubicar personas en el mapa deseamos mejorar los ICONOS DE LOS PINES, detectar si las personas tiene el MÓVIL ACTIVO y mejorar el FILTRO de las personas que se muestran en los puntos del mapa","[""Android"", ""iPhone"", ""Desarrollo de apps móviles"", ""PHP"", ""Xamarin""]"
839,Developer Full Stack,"...es en dólares.

Tareas:
1. Verificar errores, bugs y vulnerabilidades de los scripts.
2. Corregir errores de programación de los scripts.
3. Coordinar las soluciones a eventuales bugs con los autores de scripts.
4. Configurar y verificar funcionamiento de API´s de redes sociales.
5. Configurar y verificar funcionamiento de API´s de pasarelas de pago. 
6. Coordinar soluciones integrales con el developer manager del proyecto....","[""MySQL"", ""PHP"", ""SaaS Sales"", ""Verificación de software"", ""Web Hosting""]"
840,Cambios en Integración con SIIGO,"Actualmente nuestra plataforma de ventas en Colombia se integra con la API de Siigo () para poder emitir las facturas de los pedidos levantados en el área de ventas.

Recientemente Siigo cambio su API a una nueva versión. 

Por tal motivo hay que modificar el código de nuestra plataforma adaptandola a los cambios de la API de modo de poder seguir facturando.

Nuestra plataforma esta desarrollada en PHP 5.5, MySQL 5.5 sobre Ubuntu 16.

Es imprescindible conocer de las tecnologías mencionadas como asi tambien JSON, CURL y el uso en general de API REST.

Se dará acceso un entorno de desarrollo con datos de prueba para poder realizar los cambios.","[""JSON"", ""Linux"", ""MySQL"", ""PHP""]"
